partition,date,hour
2021-01-18,2021-01-19,06:23
2021-01-19,2021-01-20,01:02
2021-01-20,2021-01-21,01:34
2021-01-21,2021-01-22,21:55
2021-01-22,2021-01-23,00:50
2021-01-25,2021-01-26,01:15
2021-01-26,2021-01-27,01:05
2021-01-27,2021-01-28,01:21
2021-01-28,2021-01-29,01:27
2021-01-29,2021-01-30,01:36
2021-02-01,2021-02-02,03:41
2021-02-02,2021-02-03,02:20
2021-02-03,2021-02-04,22:32
2021-02-04,2021-02-05,02:01
2021-02-05,2021-02-06,01:59
2021-02-08,2021-02-09,03:24
2021-02-09,2021-02-10,01:11
2021-02-10,2021-02-11,01:14
2021-02-11,2021-02-12,01:25
2021-02-12,2021-02-13,01:18
2021-02-15,2021-02-17,10:47
2021-02-16,2021-02-17,01:38
2021-02-17,2021-02-18,03:12
2021-02-18,2021-02-19,01:26
2021-02-19,2021-02-20,01:33
2021-02-22,2021-02-23,01:19
2021-02-23,2021-02-24,01:22
2021-02-24,2021-02-25,01:55
2021-02-25,2021-02-26,02:00
2021-02-26,2021-02-27,02:50
2021-03-01,2021-03-02,04:25
2021-03-02,2021-03-03,06:09
2021-03-03,2021-03-05,01:01
2021-03-04,2021-03-06,01:20
2021-03-05,2021-03-07,01:35
2021-03-08,2021-03-09,01:49
2021-03-09,2021-03-10,01:31
2021-03-10,2021-03-12,13:08
2021-03-11,2021-03-12,16:29
2021-03-12,2021-03-13,11:01
2021-03-15,2021-03-16,01:48
2021-03-16,2021-03-17,03:11
2021-03-17,2021-03-18,02:19
2021-03-18,2021-03-19,01:40
2021-03-19,2021-03-20,01:25
2021-03-22,2021-03-23,02:27
2021-03-23,2021-03-24,18:35
2021-03-24,2021-03-25,01:42
2021-03-25,2021-03-26,18:58
2021-03-26,2021-03-27,05:29
2021-03-29,2021-03-30,17:19
2021-03-30,2021-04-02,02:06
2021-03-31,2021-04-01,18:45
2021-04-01,2021-04-02,06:32
2021-04-05,2021-04-09,11:29
2021-04-06,2021-04-08,20:58
2021-04-07,2021-04-09,16:34
2021-04-08,2021-04-10,06:45
2021-04-09,2021-04-10,12:58
