partition,date,hour
2021-01-25,2021-01-27,18:19
2021-01-26,2021-01-27,21:40
2021-01-27,2021-01-28,00:13
2021-01-28,2021-01-29,00:07
2021-01-29,2021-01-30,03:23
2021-02-01,2021-02-02,01:12
2021-02-02,2021-02-03,02:30
2021-02-03,2021-02-04,16:32
2021-02-04,2021-02-05,06:18
2021-02-05,2021-02-06,02:10
2021-02-08,2021-02-10,13:02
2021-02-09,2021-02-10,00:11
2021-02-10,2021-02-11,00:10
2021-02-11,2021-02-12,09:14
2021-02-12,2021-02-13,02:10
2021-02-15,2021-02-16,00:15
2021-02-16,2021-02-17,01:14
2021-02-17,2021-02-18,01:17
2021-02-18,2021-02-19,01:25
2021-02-19,2021-02-20,02:13
2021-02-22,2021-02-23,01:15
2021-02-23,2021-02-24,01:13
2021-02-24,2021-02-25,02:07
2021-02-25,2021-02-26,01:28
2021-02-26,2021-02-27,02:13
2021-03-01,2021-03-02,04:39
2021-03-02,2021-03-03,02:29
2021-03-03,2021-03-04,19:48
2021-03-04,2021-03-05,21:18
2021-03-05,2021-03-06,23:46
2021-03-08,2021-03-09,01:15
2021-03-09,2021-03-10,01:15
2021-03-10,2021-03-11,04:16
2021-03-11,2021-03-12,01:59
2021-03-12,2021-03-13,03:22
2021-03-15,2021-03-16,01:12
2021-03-16,2021-03-17,01:16
2021-03-17,2021-03-18,00:33
2021-03-18,2021-03-19,00:30
2021-03-19,2021-03-20,02:10
2021-03-22,2021-03-23,01:10
2021-03-23,2021-03-24,00:26
2021-03-24,2021-03-25,00:47
2021-03-25,2021-03-26,15:53
2021-03-26,2021-03-27,03:41
2021-03-29,2021-03-30,00:27
2021-03-30,2021-03-31,06:27
2021-03-31,2021-04-01,04:10
2021-04-01,2021-04-02,03:01
2021-04-05,2021-04-06,06:02
2021-04-06,2021-04-09,13:41
2021-04-07,2021-04-09,04:50
2021-04-08,2021-04-10,01:01
2021-04-09,2021-04-10,10:55
